date,home_score,away_score,tournament,city,country,neutral,home_id,away_id,tier,match_id,home_team_name,away_team_name,shootout_winner_id
1990-02-21,0,0,Friendly,Rotterdam,Netherlands,false,netherlands,italy,friendly,19900221-netherlands-italy,Netherlands,Italy,
1990-02-28,2,1,Friendly,Montpellier,France,false,france,germany,friendly,19900228-france-germany,France,Germany,
1990-03-28,1,0,Friendly,London,England,false,england,brazil,friendly,19900328-england-brazil,England,Brazil,
1990-06-16,0,0,FIFA World Cup,Cagliari,Italy,true,england,netherlands,world_cup,19900616-england-netherlands,England,Netherlands,
1990-06-24,0,1,FIFA World Cup,Turin,Italy,true,brazil,argentina,world_cup,19900624-brazil-argentina,Brazil,Argentina,
1990-06-24,2,1,FIFA World Cup,Milan,Italy,true,germany,netherlands,world_cup,19900624-germany-netherlands,Germany,Netherlands,
1990-07-03,1,1,FIFA World Cup,Naples,Italy,false,italy,argentina,world_cup,19900703-italy-argentina,Italy,Argentina,argentina
1990-07-04,1,1,FIFA World Cup,Turin,Italy,true,germany,england,world_cup,19900704-germany-england,Germany,England,germany
1990-07-07,2,1,FIFA World Cup,Bari,Italy,false,italy,england,world_cup,19900707-italy-england,Italy,England,
1990-07-08,1,0,FIFA World Cup,Rome,Italy,true,germany,argentina,world_cup,19900708-germany-argentina,Germany,Argentina,
1990-09-12,3,0,Friendly,Gijón,Spain,false,spain,brazil,friendly,19900912-spain-brazil,Spain,Brazil,
1990-09-26,1,0,Friendly,Palermo,Italy,false,italy,netherlands,friendly,19900926-italy-netherlands,Italy,Netherlands,
1991-02-20,3,1,UEFA Euro qualification,Paris,France,false,france,spain,qualifier,19910220-france-spain,France,Spain,
1991-03-27,3,3,Friendly,Buenos Aires,Argentina,false,argentina,brazil,friendly,19910327-argentina-brazil,Argentina,Brazil,
1991-05-25,2,2,Friendly,London,England,false,england,argentina,friendly,19910525-england-argentina,England,Argentina,
1991-06-27,1,1,Friendly,Curitiba,Brazil,false,brazil,argentina,friendly,19910627-brazil-argentina,Brazil,Argentina,
1991-07-17,3,2,Copa América,Santiago,Chile,true,argentina,brazil,continental,19910717-argentina-brazil,Argentina,Brazil,
1991-09-11,0,1,Friendly,London,England,false,england,germany,friendly,19910911-england-germany,England,Germany,
1991-10-12,1,2,UEFA Euro qualification,Seville,Spain,false,spain,france,qualifier,19911012-spain-france,Spain,France,
1992-02-19,2,0,Friendly,London,England,false,england,france,friendly,19920219-england-france,England,France,
1992-03-25,1,0,Friendly,Turin,Italy,false,italy,germany,friendly,19920325-italy-germany,Italy,Germany,
1992-05-17,1,1,Friendly,London,England,false,england,brazil,friendly,19920517-england-brazil,England,Brazil,
1992-06-05,1,1,Friendly,Lens,France,false,france,netherlands,friendly,19920605-france-netherlands,France,Netherlands,
1992-06-14,0,0,UEFA Euro,Malmö,Sweden,true,france,england,continental,19920614-france-england,France,England,
1992-06-18,3,1,UEFA Euro,Gothenburg,Sweden,true,netherlands,germany,continental,19920618-netherlands-germany,Netherlands,Germany,
1992-08-26,0,2,Friendly,Paris,France,false,france,brazil,friendly,19920826-france-brazil,France,Brazil,
1992-09-09,2,3,Friendly,Eindhoven,Netherlands,false,netherlands,italy,friendly,19920909-netherlands-italy,Netherlands,Italy,
1992-09-09,1,0,Friendly,Santander,Spain,false,spain,england,friendly,19920909-spain-england,Spain,England,
1992-12-16,3,1,Friendly,Porto Alegre,Brazil,false,brazil,germany,friendly,19921216-brazil-germany,Brazil,Germany,
1993-02-18,1,1,Friendly,Buenos Aires,Argentina,false,argentina,brazil,friendly,19930218-argentina-brazil,Argentina,Brazil,
1993-04-28,2,2,FIFA World Cup qualification,London,England,false,england,netherlands,qualifier,19930428-england-netherlands,England,Netherlands,
